"dotted_numeric","dotted_alphanumeric","nid","author","dtCreated","level"
"1.4.5.2.1.1","4e2a1","0149","THOM","Thu 20 Dec 1979 02:05:36 GMT+00:00","6"
"1.4.5.2.1.1.1","4e2a1a","0150","THOM","Thu 20 Dec 1979 02:05:35 GMT+00:00","7"
"1.4.5.2.1.1.2","4e2a1b","0151","THOM","Thu 20 Dec 1979 02:05:35 GMT+00:00","7"
"1.4.5.2.1.1.3","4e2a1c","0152","THOM","Thu 20 Dec 1979 02:05:35 GMT+00:00","7"
"1.4.5.2.1.2","4e2a2","0153","THOM","Thu 20 Dec 1979 02:05:35 GMT+00:00","6"
"1.4.5.2.1.2.1","4e2a2a","0154","THOM","Thu 20 Dec 1979 02:05:35 GMT+00:00","7"
"1.4.5.2.1.2.2","4e2a2b","0155","THOM","Thu 20 Dec 1979 02:05:35 GMT+00:00","7"
"1.4.5.2.1.3","4e2a3","0158","THOM","Thu 20 Dec 1979 02:06:03 GMT+00:00","6"
"1.4.5.2.2","4e2b","0156","THOM","Thu 20 Dec 1979 02:05:35 GMT+00:00","5"
"1.4.5.2.2.1","4e2b1","0157","THOM","Thu 20 Dec 1979 02:05:35 GMT+00:00","6"
"1.4.5.3","4e3","0159","ROSE","Thu 8 Jan 1981 00:41:07 GMT+00:00","4"
"1.4.5.4","4e4","0160","ROSE","Thu 8 Jan 1981 00:41:11 GMT+00:00","4"
"1.4.5.5","4e5","0161","ROSE","Mon 12 Jan 1981 07:41:05 GMT+00:00","4"
"1.4.6","4f","0162","ROSE","Sat 10 Jan 1981 00:34:20 GMT+00:00","3"
"1.4.6.1","4f1","0163","ROSE","Mon 12 Jan 1981 07:41:14 GMT+00:00","4"
"1.4.6.2","4f2","0166","ROSE","Sat 10 Jan 1981 00:34:56 GMT+00:00","4"
"1.4.6.3","4f3","0222","ROSE","Mon 12 Jan 1981 07:41:26 GMT+00:00","4"
"1.4.7","4g","0164","THOM","Thu 20 Dec 1979 02:13:17 GMT+00:00","3"
"1.4.7.1","4g1","0165","ROSE","Mon 12 Jan 1981 07:41:23 GMT+00:00","4"
"1.4.7.2","4g2","0167","ROSE","Thu 8 Jan 1981 00:42:33 GMT+00:00","4"
"1.4.7.2.1","4g2a","0168","THOM","Thu 20 Dec 1979 02:20:46 GMT+00:00","5"
"1.4.7.2.1.1","4g2a1","0169","THOM","Thu 20 Dec 1979 02:21:00 GMT+00:00","6"
"1.4.7.2.1.1.1","4g2a1a","0170","THOM","Thu 20 Dec 1979 02:21:00 GMT+00:00","7"
"1.4.7.2.1.1.2","4g2a1b","0171","THOM","Thu 20 Dec 1979 02:21:00 GMT+00:00","7"
"1.4.7.2.1.1.3","4g2a1c","0172","THOM","Thu 20 Dec 1979 02:21:00 GMT+00:00","7"
"1.4.7.2.1.2","4g2a2","0173","THOM","Thu 20 Dec 1979 02:21:00 GMT+00:00","6"
"1.4.7.2.1.2.1","4g2a2a","0174","THOM","Thu 20 Dec 1979 02:21:00 GMT+00:00","7"
"1.4.7.2.1.2.2","4g2a2b","0175","THOM","Thu 20 Dec 1979 02:21:00 GMT+00:00","7"
"1.4.7.2.1.3","4g2a3","0176","THOM","Thu 20 Dec 1979 02:21:00 GMT+00:00","6"
"1.4.7.2.1.3.1","4g2a3a","0177","THOM","Thu 20 Dec 1979 02:21:00 GMT+00:00","7"
"1.4.7.2.1.3.2","4g2a3b","0178","THOM","Thu 20 Dec 1979 02:21:00 GMT+00:00","7"
"1.4.7.3","4g3","0179","ROSE","Thu 8 Jan 1981 00:42:49 GMT+00:00","4"
"1.5","5","07","THOM","Thu 7 Aug 1980 06:01:20 GMT+00:00","2"
"1.5.1","5a","0199","ROSE","Thu 8 Jan 1981 00:42:52 GMT+00:00","3"
"1.5.1.1","5a1","0202","ROSE","Mon 12 Jan 1981 07:41:33 GMT+00:00","4"
"1.5.1.2","5a2","0203","ROSE","Mon 12 Jan 1981 07:41:37 GMT+00:00","4"
"1.5.1.3","5a3","0204","RVR","Mon 15 Nov 1982 06:44:54 GMT+00:00","4"
"1.5.1.4","5a4","0205","THOM","Thu 20 Dec 1979 02:33:00 GMT+00:00","4"
"1.5.2","5b","0200","THOM","Thu 20 Dec 1979 02:27:59 GMT+00:00","3"
"1.5.2.1","5b1","0206","ROSE","Sat 10 Jan 1981 00:35:50 GMT+00:00","4"
"1.5.2.2","5b2","0207","ROSE","Mon 12 Jan 1981 07:41:44 GMT+00:00","4"
"1.5.2.3","5b3","0208","RVR","Mon 15 Nov 1982 06:58:51 GMT+00:00","4"
"1.5.2.4","5b4","0209","ROSE","Sat 10 Jan 1981 00:36:09 GMT+00:00","4"
"1.5.3","5c","0201","ROSE","Thu 8 Jan 1981 00:45:36 GMT+00:00","3"
"1.5.3.1","5c1","0210","ROSE","Mon 12 Jan 1981 07:41:58 GMT+00:00","4"
"1.5.3.2","5c2","0211","ROSE","Sat 10 Jan 1981 00:36:22 GMT+00:00","4"
"1.5.3.3","5c3","0212","ROSE","Fri 9 Jan 1981 06:23:41 GMT+00:00","4"
"1.5.3.4","5c4","0213","ROSE","Sat 10 Jan 1981 00:36:48 GMT+00:00","4"
"1.5.3.5","5c5","0214","ROSE","Fri 9 Jan 1981 06:24:00 GMT+00:00","4"
"1.5.3.6","5c6","0219","ROSE","Mon 12 Jan 1981 07:51:10 GMT+00:00","4"
"1.5.3.7","5c7","0220","RVR","Mon 15 Nov 1982 06:20:26 GMT+00:00","4"
"1.5.3.8","5c8","0251","ROSE","Sat 10 Jan 1981 00:37:01 GMT+00:00","4"
"1.5.3.9","5c9","0221","ROSE","Sat 10 Jan 1981 00:37:50 GMT+00:00","4"
"1.5.4","5d","0489","ROSE","Fri 16 Jan 1981 07:38:41 GMT+00:00","3"
"1.5.4.1","5d1","0490","WBD","Sat 9 Jul 1988 00:21:20 GMT+00:00","4"
"1.6","6","0182","THOM","Thu 7 Aug 1980 06:01:21 GMT+00:00","2"
"1.6.1","6a","0184","THOM","Thu 20 Dec 1979 02:24:13 GMT+00:00","3"
"1.6.1.1","6a1","0185","THOM","Thu 20 Dec 1979 02:24:17 GMT+00:00","4"
"1.6.1.1.1","6a1a","0246","ROSE","Mon 12 Jan 1981 07:42:10 GMT+00:00","5"
"1.6.1.1.2","6a1b","01234","ROSE","Fri 9 Jan 1981 06:32:11 GMT+00:00","5"
"1.6.1.2","6a2","0186","THOM","Thu 20 Dec 1979 02:24:19 GMT+00:00","4"
"1.6.1.2.1","6a2a","0247","ROSE","Mon 12 Jan 1981 07:42:16 GMT+00:00","5"
"1.6.1.3","6a3","0187","THOM","Mon 9 Jun 1980 06:44:35 GMT+00:00","4"
"1.6.1.3.1","6a3a","0309","ROSE","Fri 9 Jan 1981 06:32:51 GMT+00:00","5"
"1.6.1.3.2","6a3b","0310","ROSE","Fri 9 Jan 1981 06:33:11 GMT+00:00","5"
"1.6.1.3.3","6a3c","0311","ROSE","Mon 12 Jan 1981 07:42:25 GMT+00:00","5"
"1.6.1.3.4","6a3d","0312","RVR","Mon 15 Nov 1982 07:03:16 GMT+00:00","5"
"1.6.1.3.5","6a3e","0313","RVR","Mon 15 Nov 1982 07:03:23 GMT+00:00","5"
"1.6.1.3.6","6a3f","0314","ROSE","Mon 12 Jan 1981 07:42:31 GMT+00:00","5"
"1.6.1.4","6a4","0197","THOM","Thu 20 Dec 1979 02:25:20 GMT+00:00","4"
"1.6.1.4.1","6a4a","0302","THOM","Wed 5 Mar 1980 07:52:46 GMT+00:00","5"
"1.6.1.4.2","6a4b","0303","THOM","Mon 9 Jun 1980 06:48:04 GMT+00:00","5"
"1.6.1.4.3","6a4c","0304","ROSE","Fri 9 Jan 1981 06:34:44 GMT+00:00","5"
"1.6.1.4.4","6a4d","0306","ROSE","Mon 12 Jan 1981 07:42:42 GMT+00:00","5"
"1.6.1.4.5","6a4e","0307","WBD","Sat 9 Jul 1988 00:22:31 GMT+00:00","5"
"1.6.1.4.6","6a4f","01237","ROSE","Mon 12 Jan 1981 07:42:36 GMT+00:00","5"
"1.6.1.4.7","6a4g","01238","THOM","Mon 18 Aug 1980 05:11:32 GMT+00:00","5"
"1.6.1.4.8","6a4h","01239","ROSE","Fri 9 Jan 1981 06:35:28 GMT+00:00","5"
"1.6.1.5","6a5","0198","THOM","Thu 20 Dec 1979 02:25:26 GMT+00:00","4"
"1.6.1.5.1","6a5a","0248","ROSE","Mon 12 Jan 1981 07:44:55 GMT+00:00","5"
"1.6.1.5.1.1","6a5a1","0539","RVR","Mon 15 Nov 1982 07:09:42 GMT+00:00","6"
