"dotted_numeric","dotted_alphanumeric","nid","author","dtCreated","level"
"1.3.1.1","3a1","0181","","","4"
"1.3.1.2","3a2","0182","","","4"
"1.3.1.3","3a3","0183","","","4"
"1.3.1.4","3a4","0184","","","4"
"1.3.1.5","3a5","0185","","","4"
"1.3.1.5.1","3a5a","0186","","","5"
"1.3.1.5.2","3a5b","0187","","","5"
"1.3.1.5.3","3a5c","0188","","","5"
"1.3.1.5.4","3a5d","0189","","","5"
"1.3.1.5.5","3a5e","0190","","","5"
"1.3.1.5.6","3a5f","0191","","","5"
"1.3.1.5.7.1","3a5g1","0192","","","6"
"1.3.1.5.7.2","3a5g2","0193","","","6"
"1.3.1.5.7.3","3a5g3","0194","","","6"
"1.3.1.5.7.4","3a5g4","0195","","","6"
"1.3.1.5.7.5","3a5g5","0196","","","6"
"1.3.1.5.7.6","3a5g6","0197","","","6"
"1.3.1.5.7.7","3a5g7","0198","","","6"
"1.3.1.5.7.8","3a5g8","0199","","","6"
"1.3.1.5.7.9","3a5g9","0200","","","6"
"1.3.1.5.7.10","3a5g10","0201","","","6"
"1.3.1.5.7.11","3a5g11","0202","","","6"
"1.3.1.5.7.12","3a5g12","0203","","","6"
"1.3.1.5.7.13","3a5g13","0204","","","6"
"1.3.1.5.7.14","3a5g14","0205","","","6"
"1.3.1.5.7.15","3a5g15","0206","","","6"
"1.3.1.5.7.16","3a5g16","0207","","","6"
"1.3.1.5.7.17","3a5g17","0208","","","6"
"1.3.1.5.7.18","3a5g18","0209","","","6"
"1.3.1.5.7.19","3a5g19","0210","","","6"
"1.3.1.5.7.20","3a5g20","0211","","","6"
"1.3.1.5.7.21","3a5g21","0212","","","6"
"1.3.1.6","3a6","0213","","","4"
"1.3.1.6.1","3a6a","0214","","","5"
"1.3.1.6.2","3a6b","0215","","","5"
"1.3.1.6.3","3a6c","0216","","","5"
"1.3.1.7","3a7","0217","","","4"
"1.3.1.7.1","3a7a","0218","","","5"
"1.3.1.7.2","3a7b","0219","","","5"
"1.3.1.7.2.1","3a7b1","0220","","","6"
"1.3.1.7.2.2","3a7b2","0221","","","6"
"1.3.1.7.2.3","3a7b3","0222","","","6"
"1.3.1.7.3","3a7c","0223","","","5"
"1.3.1.7.3.1","3a7c1","0224","","","6"
"1.3.1.7.3.2","3a7c2","0225","","","6"
"1.3.1.7.4","3a7d","0226","","","5"
"1.3.1.7.4.1","3a7d1","0227","","","6"
"1.3.1.7.4.2","3a7d2","0228","","","6"
"1.3.1.7.4.3","3a7d3","0229","","","6"
"1.3.1.7.5","3a7e","0230","","","5"
"1.3.1.7.5.1","3a7e1","0231","","","6"
"1.3.1.7.5.2","3a7e2","0232","","","6"
"1.3.1.7.5.3","3a7e3","0233","","","6"
"1.3.1.7.5.4","3a7e4","0234","","","6"
"1.3.1.7.5.5","3a7e5","0235","","","6"
"1.3.1.7.5.6","3a7e6","0236","","","6"
"1.3.1.7.5.7","3a7e7","0237","","","6"
"1.3.1.7.5.8","3a7e8","0238","","","6"
"1.3.1.7.5.9","3a7e9","0239","","","6"
"1.3.1.7.5.10","3a7e10","0240","","","6"
"1.3.1.8","3a8","0241","","","4"
"1.3.1.8.1","3a8a","0242","","","5"
"1.3.1.8.2","3a8b","0243","","","5"
"1.3.1.8.3","3a8c","0244","","","5"
"1.3.1.8.4","3a8d","0245","","","5"
"1.3.1.8.5","3a8e","0246","","","5"
"1.3.1.8.6","3a8f","0247","","","5"
"1.3.1.8.7","3a8g","0248","","","5"
"1.3.1.8.8","3a8h","0249","","","5"
"1.3.1.8.9","3a8i","0250","","","5"
"1.3.1.8.10","3a8j","0251","","","5"
"1.3.1.8.11","3a8k","0252","","","5"
"1.3.1.8.12","3a8l","0253","","","5"
"1.3.1.8.13","3a8m","0254","","","5"
"1.3.1.8.14","3a8n","0255","","","5"
"1.3.1.8.15","3a8o","0256","","","5"
"1.3.1.8.16","3a8p","0257","","","5"
"1.3.1.8.17","3a8q","0258","","","5"
"1.3.1.8.18","3a8r","0259","","","5"
"1.3.1.8.19","3a8s","0260","","","5"
"1.3.1.8.20","3a8t","0261","","","5"
"1.3.1.8.21","3a8u","0262","","","5"
"1.3.1.8.22","3a8v","0263","","","5"
"1.3.1.9","3a9","0264","","","4"
"1.3.1.9.1","3a9a","0265","","","5"
"1.3.1.9.2","3a9b","0266","","","5"
"1.3.1.9.3","3a9c","0267","","","5"
"1.3.1.9.4","3a9d","0268","","","5"
"1.3.1.9.5","3a9e","0269","","","5"
"1.3.2","3b","0270","","","3"
"1.3.2.1","3b1","0271","","","4"
"1.3.2.2","3b2","0272","","","4"
"1.3.2.3","3b3","0273","","","4"
"1.3.2.3.1","3b3a","0274","","","5"
"1.3.2.3.2","3b3b","0275","","","5"
"1.3.2.3.3","3b3c","0276","","","5"
"1.3.2.3.4","3b3d","0277","","","5"
"1.3.2.3.5","3b3e","0278","","","5"
"1.3.2.3.6","3b3f","0279","","","5"
"1.3.2.3.7","3b3g","0280","","","5"
"1.3.2.4","3b4","0281","","","4"
"1.3.2.4.1","3b4a","0282","","","5"
"1.3.2.4.2","3b4b","0283","","","5"
"1.3.2.4.3","3b4c","0284","","","5"
"1.3.2.4.4","3b4d","0285","","","5"
"1.3.2.4.5","3b4e","0286","","","5"
"1.3.2.4.6","3b4f","0287","","","5"
"1.3.2.5","3b5","0288","","","4"
"1.3.2.5.1","3b5a","0289","","","5"
"1.3.2.5.2","3b5b","0290","","","5"
"1.3.2.5.3","3b5c","0291","","","5"
"1.3.2.5.4","3b5d","0292","","","5"
"1.3.2.6","3b6","0293","","","4"
"1.3.2.6.1","3b6a","0294","","","5"
"1.3.2.6.2","3b6b","0295","","","5"
"1.3.2.6.3","3b6c","0296","","","5"
"1.3.2.6.4","3b6d","0297","","","5"
"1.3.2.6.5","3b6e","0298","","","5"
"1.3.2.6.6","3b6f","0299","","","5"
"1.3.2.6.7","3b6g","0300","","","5"
"1.3.2.6.8","3b6h","0301","","","5"
"1.3.2.6.9","3b6i","0302","","","5"
"1.3.2.6.10","3b6j","0303","","","5"
"1.3.2.6.11","3b6k","0304","","","5"
"1.3.2.6.12","3b6l","0305","","","5"
"1.3.2.6.13","3b6m","0306","","","5"
"1.3.2.6.14","3b6n","0307","","","5"
"1.3.2.6.15","3b6o","0308","","","5"
"1.3.2.6.16","3b6p","0309","","","5"
"1.3.2.6.17","3b6q","0310","","","5"
"1.3.2.6.18","3b6r","0311","","","5"
"1.3.2.6.19","3b6s","0312","","","5"
"1.3.2.6.20","3b6t","0313","","","5"
"1.3.2.6.21","3b6u","0314","","","5"
"1.3.2.6.22","3b6v","0315","","","5"
"1.3.2.6.23","3b6w","0316","","","5"
"1.3.2.6.24","3b6x","0317","","","5"
"1.3.2.6.25","3b6y","0318","","","5"
"1.3.2.6.26","3b6z","0319","","","5"
"1.3.2.6.27","3b6aa","0320","","","5"
"1.3.2.6.28","3b6ab","0321","","","5"
"1.3.2.7","3b7","0322","","","4"
"1.3.2.7.1","3b7a","0323","","","5"
