"dotted_numeric","dotted_alphanumeric","nid","author","dtCreated"
"1","","","",""
"1.3.2.3.3.1.1.1","3b3c1a1","0209","","Fri 19 May 2006 07:47:34 GMT+00:00"
"1.3.2.3.3.1.2","3b3c1b","0210","","Tue 9 May 2006 07:19:02 GMT+00:00"
"1.3.2.3.3.1.3","3b3c1c","0211","","Tue 9 May 2006 07:19:03 GMT+00:00"
"1.3.2.3.3.1.4","3b3c1d","0212","","Thu 11 May 2006 00:10:24 GMT+00:00"
"1.3.2.3.3.1.4.1","3b3c1d1","0213","","Fri 19 May 2006 07:47:34 GMT+00:00"
"1.3.2.3.3.1.5","3b3c1e","0214","","Thu 11 May 2006 00:10:24 GMT+00:00"
"1.3.2.3.3.1.6","3b3c1f","0215","","Thu 11 May 2006 00:10:24 GMT+00:00"
"1.3.2.3.3.1.7","3b3c1g","0216","","Thu 11 May 2006 00:10:24 GMT+00:00"
"1.3.2.3.3.1.8","3b3c1h","0217","","Thu 11 May 2006 00:10:24 GMT+00:00"
"1.3.2.3.3.1.9","3b3c1i","0218","","Thu 11 May 2006 00:10:24 GMT+00:00"
"1.3.2.3.3.1.9.1","3b3c1i1","0219","","Fri 19 May 2006 07:47:34 GMT+00:00"
"1.3.2.3.3.1.10","3b3c1j","0220","","Thu 11 May 2006 00:10:24 GMT+00:00"
"1.3.2.3.3.1.10.1","3b3c1j1","0221","","Fri 19 May 2006 07:47:34 GMT+00:00"
"1.3.2.3.3.1.11","3b3c1k","0222","","Thu 11 May 2006 00:10:24 GMT+00:00"
"1.3.2.3.3.1.12","3b3c1l","0223","","Thu 11 May 2006 00:10:24 GMT+00:00"
"1.3.2.3.3.1.12.1","3b3c1l1","0224","","Fri 19 May 2006 07:47:34 GMT+00:00"
"1.3.2.3.3.1.13","3b3c1m","0225","","Thu 11 May 2006 00:10:24 GMT+00:00"
"1.3.2.3.3.1.13.1","3b3c1m1","0226","","Fri 19 May 2006 07:47:34 GMT+00:00"
"1.3.2.4","3b4","0622","","Mon 15 May 2006 06:19:58 GMT+00:00"
"1.3.2.4.1","3b4a","038","","Thu 11 May 2006 00:02:23 GMT+00:00"
"1.3.2.4.1.1","3b4a1","0103","","Wed 10 May 2006 07:48:03 GMT+00:00"
"1.3.2.4.1.1.1","3b4a1a","0235","","Thu 11 May 2006 00:10:49 GMT+00:00"
"1.3.2.4.1.1.2","3b4a1b","0250","","Thu 11 May 2006 00:10:24 GMT+00:00"
"1.3.2.4.1.1.3","3b4a1c","0251","","Thu 11 May 2006 00:10:24 GMT+00:00"
"1.3.2.4.1.1.4","3b4a1d","0252","","Thu 11 May 2006 00:10:24 GMT+00:00"
"1.3.2.4.1.1.5","3b4a1e","0253","","Thu 11 May 2006 00:10:24 GMT+00:00"
"1.3.2.4.1.1.6","3b4a1f","0236","","Thu 11 May 2006 00:10:24 GMT+00:00"
"1.3.2.4.1.1.6.1","3b4a1f1","0237","","Fri 19 May 2006 07:47:39 GMT+00:00"
"1.3.2.4.1.1.6.1.1","3b4a1f1a","0238","","Thu 11 May 2006 00:10:24 GMT+00:00"
"1.3.2.4.1.1.7","3b4a1g","0239","","Thu 18 May 2006 05:37:49 GMT+00:00"
"1.3.2.4.1.1.7.1","3b4a1g1","0240","","Fri 19 May 2006 07:47:34 GMT+00:00"
"1.3.2.4.1.1.8","3b4a1h","0241","","Thu 11 May 2006 00:10:24 GMT+00:00"
"1.3.2.4.1.1.9","3b4a1i","0242","","Thu 11 May 2006 00:10:24 GMT+00:00"
"1.3.2.4.1.1.10","3b4a1j","0243","","Thu 18 May 2006 05:39:30 GMT+00:00"
"1.3.2.4.1.1.11","3b4a1k","0244","","Thu 18 May 2006 05:39:32 GMT+00:00"
"1.3.2.4.1.1.12","3b4a1l","0245","","Tue 9 May 2006 07:21:42 GMT+00:00"
"1.3.2.4.1.1.12.1","3b4a1l1","0246","","Fri 19 May 2006 07:47:34 GMT+00:00"
"1.3.2.4.1.1.13","3b4a1m","0247","","Thu 11 May 2006 00:10:24 GMT+00:00"
"1.3.2.4.1.1.14","3b4a1n","0248","","Thu 11 May 2006 00:10:24 GMT+00:00"
"1.3.2.4.1.1.15","3b4a1o","0249","","Thu 11 May 2006 00:10:24 GMT+00:00"
"1.3.2.4.2","3b4b","039","","Thu 11 May 2006 00:03:53 GMT+00:00"
"1.3.2.4.2.1","3b4b1","0104","","Thu 11 May 2006 00:02:38 GMT+00:00"
"1.3.2.4.2.1.2","3b4b1b","0254","","Thu 11 May 2006 00:10:24 GMT+00:00"
"1.3.2.4.2.1.3","3b4b1c","0255","","Thu 11 May 2006 00:10:24 GMT+00:00"
"1.3.2.4.2.1.4","3b4b1d","0256","","Thu 11 May 2006 00:10:24 GMT+00:00"
"1.3.2.4.2.1.5","3b4b1e","0257","","Thu 11 May 2006 00:10:24 GMT+00:00"
"1.3.2.4.2.1.6","3b4b1f","0258","","Thu 11 May 2006 00:10:24 GMT+00:00"
"1.3.2.4.3","3b4c","041","","Thu 11 May 2006 00:02:30 GMT+00:00"
"1.3.2.4.3.1","3b4c1","0105","","Thu 11 May 2006 00:08:54 GMT+00:00"
"1.3.2.4.3.1.1","3b4c1a","042","","Thu 11 May 2006 00:10:16 GMT+00:00"
"1.3.2.4.3.1.2","3b4c1b","0259","","Thu 11 May 2006 00:10:24 GMT+00:00"
"1.3.2.4.3.1.3","3b4c1c","0260","","Thu 11 May 2006 00:10:24 GMT+00:00"
"1.3.2.4.3.1.4","3b4c1d","0261","","Thu 11 May 2006 00:10:24 GMT+00:00"
"1.3.2.4.3.1.5","3b4c1e","0262","","Thu 11 May 2006 00:10:24 GMT+00:00"
"1.3.2.4.3.1.6","3b4c1f","0263","","Thu 11 May 2006 00:10:24 GMT+00:00"
"1.3.2.4.3.1.7","3b4c1g","0264","","Thu 11 May 2006 00:10:24 GMT+00:00"
"1.3.2.4.3.1.8","3b4c1h","0265","","Thu 11 May 2006 00:10:24 GMT+00:00"
"1.3.2.4.3.1.9","3b4c1i","0266","","Thu 11 May 2006 00:10:24 GMT+00:00"
"1.3.2.4.3.1.10","3b4c1j","0267","","Thu 11 May 2006 00:10:24 GMT+00:00"
"1.3.2.4.3.1.11","3b4c1k","0268","","Thu 11 May 2006 00:10:24 GMT+00:00"
"1.3.2.4.3.1.12","3b4c1l","0698","","Thu 18 May 2006 07:30:33 GMT+00:00"
"1.3.2.4.3.1.12.1","3b4c1l1","0699","","Thu 18 May 2006 07:30:42 GMT+00:00"
"1.3.2.4.3.1.13","3b4c1m","0700","","Thu 18 May 2006 07:31:08 GMT+00:00"
"1.3.2.4.3.1.13.1","3b4c1m1","0701","","Thu 18 May 2006 07:31:03 GMT+00:00"
"1.3.2.4.3.1.14","3b4c1n","0269","","Thu 11 May 2006 00:10:24 GMT+00:00"
"1.3.2.4.3.1.15","3b4c1o","0270","","Thu 11 May 2006 00:10:24 GMT+00:00"
"1.3.2.4.3.1.16","3b4c1p","0271","","Thu 11 May 2006 00:10:24 GMT+00:00"
"1.3.2.4.3.1.16.1","3b4c1p1","0702","","Thu 18 May 2006 07:33:53 GMT+00:00"
"1.3.2.4.3.1.17","3b4c1q","0703","","Thu 18 May 2006 07:34:05 GMT+00:00"
"1.3.2.4.3.1.17.1","3b4c1q1","0704","","Thu 18 May 2006 07:33:58 GMT+00:00"
"1.3.2.4.3.1.18","3b4c1r","0705","","Thu 18 May 2006 07:34:00 GMT+00:00"
"1.3.2.4.4","3b4d","043","","Thu 11 May 2006 00:02:38 GMT+00:00"
"1.3.2.4.4.1","3b4d1","0106","","Wed 10 May 2006 07:52:18 GMT+00:00"
"1.3.2.4.4.1.2","3b4d1b","044","","Wed 17 May 2006 07:39:22 GMT+00:00"
"1.3.2.4.5","3b4e","045","","Thu 11 May 2006 00:02:41 GMT+00:00"
"1.3.2.4.5.1","3b4e1","0108","","Thu 11 May 2006 00:02:23 GMT+00:00"
"1.3.2.4.5.1.1","3b4e1a","046","","Thu 11 May 2006 00:10:16 GMT+00:00"
"1.3.2.4.5.1.2","3b4e1b","0272","","Thu 11 May 2006 00:10:24 GMT+00:00"
"1.3.2.4.5.1.3","3b4e1c","0273","","Thu 11 May 2006 00:10:24 GMT+00:00"
"1.3.2.4.6","3b4f","047","","Thu 11 May 2006 00:02:53 GMT+00:00"
"1.3.2.4.6.1","3b4f1","0109","","Thu 11 May 2006 00:02:23 GMT+00:00"
"1.3.2.4.6.1.1","3b4f1a","048","","Wed 17 May 2006 07:39:22 GMT+00:00"
"1.3.2.4.6.1.2","3b4f1b","0688","","Mon 15 May 2006 06:42:28 GMT+00:00"
"1.3.2.4.6.1.3","3b4f1c","0279","","Thu 11 May 2006 00:10:24 GMT+00:00"
"1.3.2.4.6.1.4","3b4f1d","0280","","Thu 11 May 2006 00:10:24 GMT+00:00"
"1.3.2.4.7","3b4g","051","","Thu 11 May 2006 00:04:05 GMT+00:00"
"1.3.2.4.7.1","3b4g1","0110","","Thu 11 May 2006 00:10:34 GMT+00:00"
"1.3.2.4.7.1.1","3b4g1a","059","","Thu 11 May 2006 00:10:40 GMT+00:00"
"1.3.2.4.7.1.2","3b4g1b","0286","","Fri 19 May 2006 07:27:41 GMT+00:00"
"1.3.2.4.7.1.3","3b4g1c","0287","","Thu 11 May 2006 00:10:24 GMT+00:00"
"1.3.2.4.7.1.3.1","3b4g1c1","0288","","Thu 11 May 2006 00:10:24 GMT+00:00"
"1.3.2.4.7.1.4","3b4g1d","0706","","Fri 19 May 2006 07:27:36 GMT+00:00"
"1.3.2.4.7.1.4.1","3b4g1d1","0291","","Thu 11 May 2006 00:10:24 GMT+00:00"
"1.3.2.4.8","3b4h","052","","Thu 11 May 2006 00:04:09 GMT+00:00"
"1.3.2.4.8.1","3b4h1","0111","","Thu 11 May 2006 00:10:34 GMT+00:00"
"1.3.2.4.8.1.1","3b4h1a","060","","Thu 11 May 2006 00:10:40 GMT+00:00"
"1.3.2.4.8.1.2","3b4h1b","0292","","Thu 11 May 2006 00:10:59 GMT+00:00"
"1.3.2.4.8.1.3","3b4h1c","0293","","Thu 11 May 2006 00:10:24 GMT+00:00"
"1.3.2.4.9","3b4i","053","","Thu 11 May 2006 00:04:13 GMT+00:00"
"1.3.2.4.9.1","3b4i1","0113","","Thu 11 May 2006 00:10:34 GMT+00:00"
"1.3.2.4.9.1.1","3b4i1a","061","","Thu 11 May 2006 00:10:40 GMT+00:00"
"1.3.2.4.9.1.2","3b4i1b","0304","","Thu 11 May 2006 00:11:01 GMT+00:00"
"1.3.2.4.9.1.3","3b4i1c","0294","","Thu 11 May 2006 00:10:24 GMT+00:00"
"1.3.2.4.9.1.4","3b4i1d","0295","","Thu 11 May 2006 00:10:24 GMT+00:00"
"1.3.2.4.9.1.4.1","3b4i1d1","0296","","Thu 11 May 2006 00:10:24 GMT+00:00"
"1.3.2.4.9.1.5","3b4i1e","0708","","Fri 19 May 2006 07:34:11 GMT+00:00"
"1.3.2.4.9.1.6","3b4i1f","0298","","Thu 11 May 2006 00:10:24 GMT+00:00"
"1.3.2.4.9.1.6.1","3b4i1f1","0299","","Thu 11 May 2006 00:10:24 GMT+00:00"
"1.3.2.4.9.1.7","3b4i1g","0709","","Fri 19 May 2006 07:34:10 GMT+00:00"
"1.3.2.4.9.1.8","3b4i1h","0300","","Thu 11 May 2006 00:10:24 GMT+00:00"
"1.3.2.4.9.1.8.1","3b4i1h1","0301","","Thu 11 May 2006 00:10:24 GMT+00:00"
"1.3.2.4.9.1.9","3b4i1i","0710","","Fri 19 May 2006 07:34:14 GMT+00:00"
"1.3.2.4.9.1.10","3b4i1j","0302","","Thu 11 May 2006 00:10:24 GMT+00:00"
"1.3.2.4.9.1.10.1","3b4i1j1","0303","","Thu 11 May 2006 00:10:24 GMT+00:00"
"1.3.2.4.9.1.11","3b4i1k","0711","","Fri 19 May 2006 07:34:20 GMT+00:00"
"1.3.2.4.10","3b4j","054","","Thu 11 May 2006 00:03:19 GMT+00:00"
"1.3.2.4.10.1","3b4j1","0114","","Thu 11 May 2006 00:10:34 GMT+00:00"
"1.3.2.4.10.1.1","3b4j1a","062","","Thu 11 May 2006 00:10:40 GMT+00:00"
"1.3.2.4.10.1.2","3b4j1b","0305","","Thu 11 May 2006 00:11:08 GMT+00:00"
"1.3.2.4.10.1.3","3b4j1c","0306","","Thu 11 May 2006 00:10:24 GMT+00:00"
"1.3.2.4.10.1.3.1","3b4j1c1","0307","","Thu 11 May 2006 00:10:24 GMT+00:00"
"1.3.2.4.11","3b4k","055","","Thu 11 May 2006 00:03:23 GMT+00:00"
"1.3.2.4.11.1","3b4k1","0115","","Thu 11 May 2006 00:10:34 GMT+00:00"
"1.3.2.4.11.1.1","3b4k1a","063","","Thu 11 May 2006 00:10:40 GMT+00:00"
"1.3.2.4.11.1.2","3b4k1b","0713","","Fri 19 May 2006 07:36:54 GMT+00:00"
"1.3.2.4.11.1.2.1","3b4k1b1","0714","","Fri 19 May 2006 07:36:58 GMT+00:00"
"1.3.2.4.11.1.3","3b4k1c","0715","","Fri 19 May 2006 07:37:03 GMT+00:00"
"1.3.2.4.11.1.4","3b4k1d","0716","","Fri 19 May 2006 07:37:04 GMT+00:00"
"1.3.2.4.11.1.5","3b4k1e","0717","","Fri 19 May 2006 07:37:05 GMT+00:00"
"1.3.2.4.11.1.6","3b4k1f","0718","","Fri 19 May 2006 07:37:06 GMT+00:00"
"1.3.2.4.11.1.7","3b4k1g","0719","","Fri 19 May 2006 07:37:07 GMT+00:00"
"1.3.2.4.11.1.8","3b4k1h","0720","","Fri 19 May 2006 07:37:08 GMT+00:00"
"1.3.2.4.11.1.9","3b4k1i","0721","","Fri 19 May 2006 07:37:09 GMT+00:00"
"1.3.2.4.11.1.10","3b4k1j","0722","","Fri 19 May 2006 07:37:11 GMT+00:00"
"1.3.2.4.11.1.11","3b4k1k","0723","","Fri 19 May 2006 07:37:11 GMT+00:00"
"1.3.2.4.11.1.12","3b4k1l","0724","","Fri 19 May 2006 07:37:13 GMT+00:00"
"1.3.2.4.11.1.13","3b4k1m","0725","","Fri 19 May 2006 07:37:14 GMT+00:00"
"1.3.2.4.11.1.14","3b4k1n","0726","","Fri 19 May 2006 07:37:15 GMT+00:00"
"1.3.2.4.11.1.15","3b4k1o","0727","","Fri 19 May 2006 07:37:21 GMT+00:00"
"1.3.2.4.11.1.16","3b4k1p","0728","","Fri 19 May 2006 07:37:23 GMT+00:00"
"1.3.2.4.11.1.17","3b4k1q","0321","","Thu 11 May 2006 00:10:24 GMT+00:00"
"1.3.2.4.12","3b4l","056","","Thu 11 May 2006 00:03:28 GMT+00:00"
"1.3.2.4.12.1","3b4l1","0116","","Thu 11 May 2006 00:10:34 GMT+00:00"
"1.3.2.4.12.1.1","3b4l1a","064","","Thu 11 May 2006 00:10:40 GMT+00:00"
"1.3.2.4.12.1.2","3b4l1b","0337","","Thu 11 May 2006 00:10:24 GMT+00:00"
"1.3.2.4.13","3b4m","057","","Thu 11 May 2006 00:03:39 GMT+00:00"
"1.3.2.4.13.1","3b4m1","0117","","Fri 19 May 2006 07:40:26 GMT+00:00"
"1.3.2.4.13.1.1","3b4m1a","0678","","Mon 15 May 2006 06:42:39 GMT+00:00"
"1.3.2.4.13.1.2","3b4m1b","0686","","Mon 15 May 2006 06:42:32 GMT+00:00"
"1.3.2.4.13.1.2.1","3b4m1b1","0687","","Mon 15 May 2006 06:42:03 GMT+00:00"
