"dotted_numeric","dotted_alphanumeric","nid","author","dtCreated","Match_Count","Line Number","Text"
"1.8.2","8b","0139","DCE","Wed 19 Oct 1983 01:49:06 GMT+00:00","8","",""
"1.8.2","","","","","","1","The history should provide a chronicle of dialog"
"1.8.2","","","","","","2","&quot;transactions,&quot; i.e. a Journal.  Within the AUGMENT"
"1.8.2","","","","","","3","system, there is provision for installing, maintaining and"
"1.8.2","","","","","","4","utilizing what we call Journal systems.  A Journal system"
"1.8.2","","","","","","5","supports a recorded form of dialog having attributes similar to"
"1.8.2","","","","","","6","those provided to professional circles by the combination of"
"1.8.2","","","","","","7","their professional journals and the libraries that store,"
"1.8.2","","","","","","8","catalog and provide access to them.."
"1.8.3","8c","0126","DCE","Wed 19 Oct 1983 01:49:11 GMT+00:00","4","",""
"1.8.3","","","","","","1","Having created an on-line record of thoughts and ideas, the"
"1.8.3","","","","","","2","author (or a clerk) may direct the system to distribute it to a"
"1.8.3","","","","","","3","larger group.  Such a contribution may range in size from a one-"
"1.8.3","","","","","","4","sentence message to a two-hundred-page document."
"1.8.4","8d","0128","DCE","Thu 20 Oct 1983 01:57:33 GMT+00:00","10","",""
"1.8.4","","","","","","1","In submitting this contribution a document to an AUGMENT"
"1.8.4","","","","","","2","Journal, the author specifies a title, and may include comments"
"1.8.4","","","","","","3","(analogous to a preface or other notes attached to a report).  A"
"1.8.4","","","","","","4","distribution list may be specified -- using the same personal"
"1.8.4","","","","","","5","and group identifiers as for AUGMENT Mail.  Other fields will be"
"1.8.4","","","","","","6","added automatically upon submission, such as date and time."
"1.8.4","","","","","","7","Less frequently used fields provide the computer with a basis"
"1.8.4","","","","","","8","for fairly complete bibliographical handling of this dialogue"
"1.8.4","","","","","","9","item.  The author is given on-line computer guidance for easily"
"1.8.4","","","","","","10","filling out the necessary fields."
"1.8.5","8e","0129","DCE","Thu 20 Oct 1983 01:59:56 GMT+00:00","11","",""
"1.8.5","","","","","","1","Upon submission to a specified Journal, the item is"
"1.8.5","","","","","","2","automatically given a number and is stored permanently in a"
"1.8.5","","","","","","3","central location.  A full bibliographical citation will be"
"1.8.5","","","","","","4","generated and installed in library-like, computer-held catalogs."
"1.8.5","","","","","","5","For each individual in the distribution list, a short citation"
"1.8.5","","","","","","6","will be delivered into his AUGMENT Mail box.  One of the"
"1.8.5","","","","","","7","elements in this citation is a link pointing to the centrally"
"1.8.5","","","","","","8","stored Journal document.  Using this link, a recipient may"
"1.8.5","","","","","","9","employ a simple Jump Link command to gain immediate access to"
"1.8.5","","","","","","10","the Journal document, and can study it or copy all or parts of"
"1.8.5","","","","","","11","it into working files."
"1.8.6","8f","0180","DCE","Thu 20 Oct 1983 01:51:32 GMT+00:00","6","",""
"1.8.6","","","","","","1","For example, References Ref-1, Ref-2 and Ref-3 were stored in"
"1.8.6","","","","","","2","the &quot;AUGMENT&quot; journal, as their Journal-reference"
"1.8.6","","","","","","3","links indicate, and an AUGMENT user with Journal-system access"
"1.8.6","","","","","","4","may still retrieve those documents from the system.  There are"
"1.8.6","","","","","","5","of the order of 100,000 entries in that &quot;AUGMENT&quot;"
"1.8.6","","","","","","6","Journal collection -- going back to August 1970."
"1.8.7","8g","0181","EKM","Thu 20 Oct 1983 06:59:29 GMT+00:00","9","",""
"1.8.7","","","","","","1","This current document was entered as Item # 2221 into the more-"
"1.8.7","","","","","","2","recently established, &quot;OAD&quot; Journal collection.  I"
"1.8.7","","","","","","3","exercised a Journal-system option and obtained a pre-assigned"
"1.8.7","","","","","","4","number so that I could include the number in the text of the"
"1.8.7","","","","","","5","document before final submission.  .PEL;Henceforth, another"
"1.8.7","","","","","","6","AUGMENT document may use the citation link"
"1.8.7","","","","","","7","&quot;(OAD,2221,A2)&quot; to cite the second &quot;activity"
"1.8.7","","","","","","8","item&quot; listed above in this document.  A completely"
"1.8.7","","","","","","9","unambiguous citation, good for the indefinite future."
"1.8.8","8h","0143","DCE","Thu 20 Oct 1983 00:30:06 GMT+00:00","4","",""
"1.8.8","","","","","","1","General access to the data base of Journal documents is through"
"1.8.8","","","","","","2","an on-line catalog.  Searches through the cataloged citations"
"1.8.8","","","","","","3","can retrieve citations by author, accession number, title word,"
"1.8.8","","","","","","4","or key-word descriptor."
"1.8.9","8i","0131","DCE","Wed 19 Oct 1983 00:53:24 GMT+00:00","8","",""
"1.8.9","","","","","","1","Subcollections for special groups or activity themes may be"
"1.8.9","","","","","","2","optionally maintained.  Descriptors assigned at the time a"
"1.8.9","","","","","","3","document is submitted can classify it as belonging to a given"
"1.8.9","","","","","","4","&quot;conference&quot;; but such initial classifications needn't"
"1.8.9","","","","","","5","be restrictive, since at any later time a document may be"
"1.8.9","","","","","","6","published (in the Journal) which lists a set of documents and/or"
"1.8.9","","","","","","7","of passages, from among the entire prior collection of Journal"
"1.8.9","","","","","","8","items, which are deemed to be relevant to a given theme."
"1.8.10","8j","0146","DCE","Wed 19 Oct 1983 00:54:07 GMT+00:00","4","",""
"1.8.10","","","","","","1","Or, a dynamic collection may be maintained by an interested"
"1.8.10","","","","","","2","party, in shared files, as a list of citations with links"
"1.8.10","","","","","","3","pointing directly to the items (documents or passages) in the"
"1.8.10","","","","","","4","Journal."
"1.8.11","8k","0140","DCE","Thu 20 Oct 1983 00:30:37 GMT+00:00","9","",""
"1.8.11","","","","","","1","No one is able to modify the centrally held Journal document --"
"1.8.11","","","","","","2","these documents are considered to be just as permanent a record"
"1.8.11","","","","","","3","as one that has been published and put into a library.  If"
"1.8.11","","","","","","4","Journal documents are not accessed for a given period of time,"
"1.8.11","","","","","","5","they are removed from on-line storage and archived on tape."
"1.8.11","","","","","","6","Later, if given the Journal accession number, AUGMENT operations"
"1.8.11","","","","","","7","will retrieve the item from archive tapes, just as a library"
"1.8.11","","","","","","8","would retrieve from its stacks if a little-used document had"
"1.8.11","","","","","","9","been removed from the open shelves."
"1.8.12","8l","0130","DCE","Wed 19 Oct 1983 00:49:04 GMT+00:00","3","",""
"1.8.12","","","","","","1","The central storage of dialogue entries represents the recorded"
"1.8.12","","","","","","2","dialogue, including replies and cross-reference links --"
"1.8.12","","","","","","3","essentially a network of interrelated submissions."
"1.8.13","8m","0141","DCE","Thu 20 Oct 1983 01:41:40 GMT+00:00","5","",""
"1.8.13","","","","","","1","The Journal systems provide central storage for the same reasons"
"1.8.13","","","","","","2","that libraries do: it is too costly for each individual to"
"1.8.13","","","","","","3","maintain his or her own collection; and there is need for"
"1.8.13","","","","","","4","assurance that a specified document may be provided in unaltered"
"1.8.13","","","","","","5","form."
"1.8.14","8n","0142","DCE","Wed 19 Oct 1983 01:51:04 GMT+00:00","4","",""
"1.8.14","","","","","","1","These Journal provisions encourage freer use by authors of"
"1.8.14","","","","","","2","commentary on prior entries, since an author knows that every"
"1.8.14","","","","","","3","reader has a simple means for accessing any of the earlier"
"1.8.14","","","","","","4","documents that may be cited."
"1.8.15","8o","0147","DCE","Wed 19 Oct 1983 00:54:36 GMT+00:00","3","",""
"1.8.15","","","","","","1","A new participant, entering into an established dialog process,"
"1.8.15","","","","","","2","may simply be given a relevant set of citations to be brought"
"1.8.15","","","","","","3","completely into the picture."
"1.8.16","8p","0148","DCE","Thu 20 Oct 1983 00:30:48 GMT+00:00","7","",""
"1.8.16","","","","","","1","Often, a passage in an earlier Journal document which was"
"1.8.16","","","","","","2","originally submitted as relevant only to a given theme or issue,"
"1.8.16","","","","","","3","will later be discovered by someone to be relevant to another,"
"1.8.16","","","","","","4","current issue.  In this case, a new document may be entered into"
"1.8.16","","","","","","5","this newer &quot;dialog network&quot; that points out this"
"1.8.16","","","","","","6","relevance and provides a citation link to this old document,"
"1.8.16","","","","","","7","which now has become linked into the new dialog."
"1.9","9","0160","EKM","Thu 20 Oct 1983 05:46:21 GMT+00:00","1","",""
"1.9","","","","","","1","ACKNOWLEDGEMENTS.PBS;"
"1.9.1","9a","0161","DCE","Thu 20 Oct 1983 00:31:36 GMT+00:00","9","",""
"1.9.1","","","","","","1","The principles underlying this work and the basic implementation"
"1.9.1","","","","","","2","of system architecture and features were done at SRI"
"1.9.1","","","","","","3","International, sponsored by the Air Force, NASA and DARPA, and"
"1.9.1","","","","","","4","contributed to by many bright colleagues in the Augmentation"
"1.9.1","","","","","","5","Research Center.  Solid enhancements have been made to the"
"1.9.1","","","","","","6","Conference Sub-system, the Mail System, and the Journal System"
"1.9.1","","","","","","7","since AUGMENT was moved to Tymshare in 1978, with many good"
"1.9.1","","","","","","8","ideas contributed out of the experience of essentially the"
"1.9.1","","","","","","9","entire Office Automation Division."
"1.10","10","0149","EKM","Thu 20 Oct 1983 06:37:42 GMT+00:00","1","",""
"1.10","","","","","","1","REFERENCES .IFIRST=0,0;"
"1.10.1","10a","0150","EKM","Thu 20 Oct 1983 06:48:09 GMT+00:00","4","",""
"1.10.1","","","","","","1","Ref-1:.Tabto=,X+.07;Engelbart, D. C., &quot;Toward Integrated,"
"1.10.1","","","","","","2","Evolutionary Office Automation Systems,&quot; Proceedings of the"
"1.10.1","","","","","","3","26th Joint Engineering Management Conference, Denver, CO, Oct."
"1.10.1","","","","","","4","16-18, 1978, pp. 63-68. (AUGMENT,71279,)"
"1.10.2","10b","0162","EKM","Thu 20 Oct 1983 06:48:10 GMT+00:00","7","",""
"1.10.2","","","","","","1","Ref-2:.Tabto=,X+.07;Engelbart, D. C., &quot;Coordinated"
"1.10.2","","","","","","2","Information Services for a Discipline- or Mission-Oriented"
"1.10.2","","","","","","3","Community,&quot; Proceedings of the Second Annual Computer"
"1.10.2","","","","","","4","Communications Conference in San Jose, California, Jan 24, 1973"
"1.10.2","","","","","","5","-- also, Proceedings of the NATO Conference on Computer"
"1.10.2","","","","","","6","Networks, University of Sussex, England, September 1974."
"1.10.2","","","","","","7","(AUGMENT, 12445,)"
"1.10.3","10c","0151","EKM","Thu 20 Oct 1983 06:48:12 GMT+00:00","4","",""
"1.10.3","","","","","","1","Ref-3:.Tabto=,X+.07;Engelbart, D. C., &quot;Toward High-"
"1.10.3","","","","","","2","Performance Knowledge Workers,&quot; OAC '82 Digest (Proceedings"
"1.10.3","","","","","","3","of the 1982, AFIPS Office Automation Conference, San Francisco,"
"1.10.3","","","","","","4","Ca., April 5-7), pp. 279-290. (AUGMENT, 81010,)"
"1.11","11","0179","DCE","Wed 19 Oct 1983 07:17:48 GMT+00:00","1","",""
"1.11","","","","","","1",".Halt;"
"1.12","12","0182","DCE","Thu 20 Oct 1983 02:02:12 GMT+00:00","1","",""
"1.12","","","","","","1","PS: Printing Specs"
"1.12.1","12a","0183","DCE","Thu 20 Oct 1983 02:03:28 GMT+00:00","2","",""
"1.12.1","","","","","","1","Typesetting:  Use a 10-point sans serif face with 12-point"
"1.12.1","","","","","","2","leading."
"1.12.2","12b","0184","DCE","Thu 20 Oct 1983 02:03:49 GMT+00:00","1","",""
"1.12.2","","","","","","1","Single space in one wide column, 6 1/2 inches.~r"
"1.12.3","12c","0185","DCE","Thu 20 Oct 1983 02:04:23 GMT+00:00","2","",""
"1.12.3","","","","","","1","Primary headings are centered, all caps, set off by a line space"
"1.12.3","","","","","","2","above and below the heading."
"1.12.4","12d","0186","DCE","Thu 20 Oct 1983 02:04:59 GMT+00:00","1","",""
"1.12.4","","","","","","1","Separate each paragraph by a line space,"
"1.12.5","12e","0187","DCE","Thu 20 Oct 1983 02:05:03 GMT+00:00","2","",""
"1.12.5","","","","","","1","Indent the first line of each paragraph the equivalant of 5"
"1.12.5","","","","","","2","spaces."
"1.13","13","02","DCE","Wed 12 Oct 1983 07:29:59 GMT+00:00","1","",""
"1.13","","","","","","1","G: Grist"
"1.13.1","13a","027","DCE","Mon 17 Oct 1983 07:37:37 GMT+00:00","1","",""
"1.13.1","","","","","","1","Terminology:  (Check with Bob Johansen??)"
"1.13.1.1","13a1","028","DCE","Mon 17 Oct 1983 07:37:48 GMT+00:00","2","",""
"1.13.1.1","","","","","","1","&quot;Televiewing&quot; (distinguished from"
"1.13.1.1","","","","","","2","&quot;Television&quot;)."
"1.13.1.1.1","13a1a","029","DCE","Mon 17 Oct 1983 07:37:59 GMT+00:00","1","",""
"1.13.1.1.1","","","","","","1","In either case, generally assume a parallel audio channel."
"1.13.1.2","13a2","030","DCE","Mon 17 Oct 1983 07:38:13 GMT+00:00","1","",""
"1.13.1.2","","","","","","1","Instead of &quot;Journal&quot; ??"
"1.13.1.2.1","13a2a","031","DCE","Mon 17 Oct 1983 07:38:15 GMT+00:00","1","",""
"1.13.1.2.1","","","","","","1","&quot;Recorded Dialog&quot;"
"1.13.1.2.2","13a2b","032","DCE","Mon 17 Oct 1983 07:38:28 GMT+00:00","1","",""
"1.13.1.2.2","","","","","","1","Recorded Dialog with cross-citation linkage."
"1.13.1.2.3","13a2c","033","DCE","Mon 17 Oct 1983 07:39:25 GMT+00:00","2","",""
"1.13.1.2.3","","","","","","1","Recorded Dialog, with cross-citation linkage and system-"
"1.13.1.2.3","","","","","","2","supported accession numbers"
"1.13.2","13b","022","DCE","Mon 17 Oct 1983 07:36:47 GMT+00:00","1","",""
"1.13.2","","","","","","1","General, re collaboration support:"
"1.13.2.1","13b1","026","DCE","Mon 17 Oct 1983 07:37:14 GMT+00:00","2","",""
"1.13.2.1","","","","","","1","Access control generally will be required.  Mail, Journal,"
"1.13.2.1","","","","","","2","Televiewing should all provide for it."
"1.13.2.2","13b2","037","DCE","Mon 17 Oct 1983 07:42:02 GMT+00:00","3","",""
"1.13.2.2","","","","","","1","Can have a linked structure that people can follow, connecting"
"1.13.2.2","","","","","","2","file domains owned/maintained by different people (or different"
"1.13.2.2","","","","","","3","roles)."
"1.13.2.3","13b3","021","DCE","Mon 17 Oct 1983 07:35:23 GMT+00:00","5","",""
"1.13.2.3","","","","","","1","A reader, following a link trail, may come across a file that"
"1.13.2.3","","","","","","2","has been archived; he should be presented at that time with a"
"1.13.2.3","","","","","","3","simple Yes/No option for having that file brought back into on-"
"1.13.2.3","","","","","","4","line storage accessible -- wherein he would be notified whever"
"1.13.2.3","","","","","","5","the retrieval process was done."
"1.13.3","13c","016","DCE","Wed 19 Oct 1983 07:17:09 GMT+00:00","1","",""
"1.13.3","","","","","","1","Shared Screen Requirements (From Slides)"
"1.13.3.1","13c1","015","DCE","Mon 17 Oct 1983 07:32:46 GMT+00:00","1","",""
"1.13.3.1","","","","","","1","Other Requirements ... newly added."
"1.13.3.1.1","13c1a","017","DCE","Mon 17 Oct 1983 07:33:58 GMT+00:00","3","",""
"1.13.3.1.1","","","","","","1","Other Viewers needn't have working knowledge of how to run a"
"1.13.3.1.1","","","","","","2","given application that the Shower is using to generate the"
"1.13.3.1.1","","","","","","3","shared view(s)."
"1.13.3.1.2","13c1b","018","DCE","Mon 17 Oct 1983 07:34:17 GMT+00:00","1","",""
"1.13.3.1.2","","","","","","1","The conferencing circuit should be able to be put on Hold."
"1.13.3.2","13c2","010","DCE","Mon 17 Oct 1983 07:30:22 GMT+00:00","2","",""
"1.13.3.2","","","","","","1","Showing and Viewing should be a general provision for knowledge"
"1.13.3.2","","","","","","2","workers."
"1.13.3.3","13c3","011","DCE","Mon 17 Oct 1983 07:31:20 GMT+00:00","3","",""
"1.13.3.3","","","","","","1","We should be able to switch the shared view easily and rapidly"
"1.13.3.3","","","","","","2","between views contributed by any of the different conference"
"1.13.3.3","","","","","","3","participants."
"1.13.3.4","13c4","012","DCE","Mon 17 Oct 1983 07:31:26 GMT+00:00","4","",""
"1.13.3.4","","","","","","1","With mutual agreement, we should be able to transfer data from"
"1.13.3.4","","","","","","2","my job to yours -- as designated by commands and screen"
"1.13.3.4","","","","","","3","selections made when our shared view is &quot;looking at&quot;"
"1.13.3.4","","","","","","4","our respective jobs."
"1.13.3.5","13c5","013","DCE","Mon 17 Oct 1983 07:32:10 GMT+00:00","3","",""
"1.13.3.5","","","","","","1","If you choose to, you should be able to &quot;pass the"
"1.13.3.5","","","","","","2","controls&quot; over to any of the other viewers so that he may"
"1.13.3.5","","","","","","3","operate the process which we are jointly viewing."
"1.13.3.6","13c6","014","DCE","Mon 17 Oct 1983 07:32:28 GMT+00:00","3","",""
"1.13.3.6","","","","","","1","Each party should havce a means to &quot;point&quot; -- i.e."
"1.13.3.6","","","","","","2","designate a marker at a given location which becomes visible to"
"1.13.3.6","","","","","","3","all."
"1.13.4","13d","04","DCE","Wed 12 Oct 1983 07:30:40 GMT+00:00","2","",""
"1.13.4","","","","","","1","Increased payoff from collaborative aids when embedded within"
"1.13.4","","","","","","2","integratred workshop."
"1.13.4.1","13d1","05","DCE","Wed 12 Oct 1983 07:31:11 GMT+00:00","2","",""
"1.13.4.1","","","","","","1"," Much material available for sharing; all parties much more"
"1.13.4.1","","","","","","2","facile in handling them during collaborative periods;"
"1.13.5","13e","038","DCE","Mon 17 Oct 1983 07:42:44 GMT+00:00","1","",""
"1.13.5","","","","","","1","T: Trials"
"1.13.5.1","13e1","065","DCE","Tue 18 Oct 1983 00:04:53 GMT+00:00","2","",""
"1.13.5.1","","","","","","1","[In The Project-Journal, File #675, is an item labelled (by the"
"1.13.5.1","","","","","","2","author, Jones) &quot;S75D2&quot;:]"
"1.13.5.1.1","13e1a","066","DCE","Tue 18 Oct 1983 00:04:04 GMT+00:00","3","",""
"1.13.5.1.1","","","","","","1","S75D2: Recovery from system failure must accommodate the"
"1.13.5.1.1","","","","","","2","possibility that the module may now be owned by a different user"
"1.13.5.1.1","","","","","","3","from the original module initiator."
"1.13.5.2","13e2","059","DCE","Tue 18 Oct 1983 00:04:51 GMT+00:00","2","",""
"1.13.5.2","","","","","","1","[In Fred Jones's file, &quot;Proj-Records&quot;, is a section"
"1.13.5.2","","","","","","2","labelled (by Jones) &quot;C-Module-Xspecs&quot;:]"
"1.13.5.2.1","13e2a","060","DCE","Mon 17 Oct 1983 07:52:33 GMT+00:00","1","",""
"1.13.5.2.1","","","","","","1","Ref-Links:"
"1.13.5.2.1.1","13e2a1","061","DCE","Tue 18 Oct 1983 00:00:01 GMT+00:00","1","",""
"1.13.5.2.1.1","","","","","","1","C-Module-Xspecs: (Proj-Journal, 675,) 17-Oct-83"
"1.13.5.2.1.1.1","13e2a1a","064","DCE","Tue 18 Oct 1983 00:01:08 GMT+00:00","1","",""
"1.13.5.2.1.1.1","","","","","","1","C-Module-Xspecs-Prior: (Proj-Journal, 591,) 13-Jul-83"
"1.13.5.2.1.2","13e2a2","062","DCE","Tue 18 Oct 1983 00:00:35 GMT+00:00","2","",""
"1.13.5.2.1.2","","","","","","1","C-Module-Xspecs-Revision-Draft: (Jones, Xspecs-Revision,)"
"1.13.5.2.1.2","","","","","","2","09-Nov-83"
"1.13.5.3","13e3","040","DCE","Tue 18 Oct 1983 00:04:49 GMT+00:00","2","",""
"1.13.5.3","","","","","","1","[In Dan Davis's file, &quot;C-Module&quot;, is a section"
"1.13.5.3","","","","","","2","labelled (by Davis) &quot;Design&quot;:]"
"1.13.5.3.1","13e3a","056","DCE","Mon 17 Oct 1983 07:52:33 GMT+00:00","1","",""
"1.13.5.3.1","","","","","","1","Ref-Links:"
"1.13.5.3.1.1","13e3a1","058","DCE","Mon 17 Oct 1983 07:53:04 GMT+00:00","1","",""
"1.13.5.3.1.1","","","","","","1","XSpec: (Jones, Proj-Records, C-Module-Xspecs.l)"
"1.13.5.3.2","13e3b","057","DCE","Mon 17 Oct 1983 07:50:43 GMT+00:00","1","",""
"1.13.5.3.2","","","","","","1","...."
"1.13.5.3.3","13e3c","052","DCE","Mon 17 Oct 1983 07:50:41 GMT+00:00","1","",""
"1.13.5.3.3","","","","","","1","Design:"
"1.13.5.3.3.1","13e3c1","053","DCE","Mon 17 Oct 1983 07:50:43 GMT+00:00","1","",""
"1.13.5.3.3.1","","","","","","1","...."
"1.13.5.3.3.2","13e3c2","055","DCE","Tue 18 Oct 1983 00:02:20 GMT+00:00","2","",""
"1.13.5.3.3.2","","","","","","1","Comment: Do a double check on current user status at this point,"
"1.13.5.3.3.2","","","","","","2","to meet Spec Item (XSpec.l * S75D2)."
"1.13.5.3.3.3","13e3c3","054","DCE","Mon 17 Oct 1983 07:50:44 GMT+00:00","1","",""
"1.13.5.3.3.3","","","","","","1","...."
"1.13.5.4","13e4","039","DCE","Tue 18 Oct 1983 00:04:45 GMT+00:00","4","",""
"1.13.5.4","","","","","","1","[In Project-leader Smith's file, &quot;Proj-Plan&quot;,"
"1.13.5.4","","","","","","2","accessible by all members of the project team on a &quot;read"
"1.13.5.4","","","","","","3","only&quot; basis, is a section labelled (by Smith) &quot;Task-"
"1.13.5.4","","","","","","4","Breakdown&quot;:]"
"1.13.5.4.1","13e4a","049","DCE","Mon 17 Oct 1983 07:49:01 GMT+00:00","1","",""
"1.13.5.4.1","","","","","","1","Task-Breakdown:"
"1.13.5.4.1.1","13e4a1","041","DCE","Mon 17 Oct 1983 07:44:45 GMT+00:00","1","",""
"1.13.5.4.1.1","","","","","","1","...."
"1.13.5.4.1.2","13e4a2","042","DCE","Mon 17 Oct 1983 07:48:07 GMT+00:00","1","",""
"1.13.5.4.1.2","","","","","","1","Control-Module:"
"1.13.5.4.1.2.1","13e4a2a","048","DCE","Mon 17 Oct 1983 07:49:23 GMT+00:00","1","",""
"1.13.5.4.1.2.1","","","","","","1","Requirements: Sylvia Parker (Parker, C-Module-Requirements,)"
"1.13.5.4.1.2.2","13e4a2b","047","DCE","Mon 17 Oct 1983 07:49:15 GMT+00:00","1","",""
"1.13.5.4.1.2.2","","","","","","1","External-Specifications: Fred Jones (Jones, C-Module-XSpecs,)"
"1.13.5.4.1.2.3","13e4a2c","043","DCE","Mon 17 Oct 1983 07:49:21 GMT+00:00","1","",""
"1.13.5.4.1.2.3","","","","","","1","Design: Dan Davis (Davis, C-Module, Design,)"
"1.13.5.4.1.2.4","13e4a2d","044","DCE","Mon 17 Oct 1983 07:49:36 GMT+00:00","1","",""
"1.13.5.4.1.2.4","","","","","","1","Programming:  Bob Allen --"
"1.13.5.4.1.2.4.1","13e4a2d1","045","DCE","Mon 17 Oct 1983 07:49:40 GMT+00:00","1","",""
"1.13.5.4.1.2.4.1","","","","","","1","Status: (Allen, C-Module, Status,)"
"1.13.5.4.1.2.4.2","13e4a2d2","046","DCE","Mon 17 Oct 1983 07:47:12 GMT+00:00","1","",""
"1.13.5.4.1.2.4.2","","","","","","1","Code and Documentation Locator (Allen, C-Module, Locator)"
"1.13.5.4.1.2.5","13e4a2e","050","DCE","Mon 17 Oct 1983 07:49:50 GMT+00:00","1","",""
"1.13.5.4.1.2.5","","","","","","1","...."
"1.13.5.4.1.3","13e4a3","051","DCE","Mon 17 Oct 1983 07:49:50 GMT+00:00","1","",""
"1.13.5.4.1.3","","","","","","1","...."
