"dotted_numeric","dotted_alphanumeric","nid","author","dtCreated"
"1","","","",""
"1.3.2.2.1.1.2.1","3b2a1b1","0163","BKN","Fri 19 May 2006 07:47:39 GMT+00:00"
"1.3.2.2.1.1.2.1.1","3b2a1b1a","0146","BKN","Thu 11 May 2006 00:10:24 GMT+00:00"
"1.3.2.2.1.1.2.1.2","3b2a1b1b","0164","BKN","Tue 9 May 2006 07:11:15 GMT+00:00"
"1.3.2.2.1.1.3","3b2a1c","0147","BKN","Thu 7 Dec 2006 01:49:35 GMT+00:00"
"1.3.2.2.1.1.4","3b2a1d","0149","BKN","Thu 7 Dec 2006 01:49:47 GMT+00:00"
"1.3.2.2.1.1.5","3b2a1e","0689","BKN","Thu 7 Dec 2006 01:50:22 GMT+00:00"
"1.3.2.2.1.1.6","3b2a1f","0690","BKN","Thu 7 Dec 2006 01:50:33 GMT+00:00"
"1.3.2.2.1.1.7","3b2a1g","0151","BKN","Thu 7 Dec 2006 01:50:47 GMT+00:00"
"1.3.2.2.1.1.8","3b2a1h","0152","BKN","Thu 7 Dec 2006 01:50:54 GMT+00:00"
"1.3.2.2.1.1.9","3b2a1i","0153","BKN","Thu 7 Dec 2006 01:50:58 GMT+00:00"
"1.3.2.2.1.1.10","3b2a1j","0154","BKN","Thu 7 Dec 2006 01:51:07 GMT+00:00"
"1.3.2.2.1.1.11","3b2a1k","0155","BKN","Thu 7 Dec 2006 01:51:11 GMT+00:00"
"1.3.2.2.1.1.12","3b2a1l","0156","BKN","Thu 7 Dec 2006 01:51:14 GMT+00:00"
"1.3.2.2.1.1.13","3b2a1m","0157","BKN","Thu 7 Dec 2006 01:51:16 GMT+00:00"
"1.3.2.2.1.1.14","3b2a1n","0158","BKN","Thu 7 Dec 2006 01:51:19 GMT+00:00"
"1.3.2.2.1.1.15","3b2a1o","0159","BKN","Thu 7 Dec 2006 01:51:26 GMT+00:00"
"1.3.2.2.1.1.16","3b2a1p","0162","BKN","Thu 7 Dec 2006 01:52:32 GMT+00:00"
"1.3.2.2.1.1.17","3b2a1q","0160","BKN","Thu 7 Dec 2006 01:51:54 GMT+00:00"
"1.3.2.2.1.1.18","3b2a1r","0161","BKN","Thu 7 Dec 2006 01:52:07 GMT+00:00"
"1.3.2.2.1.1.19","3b2a1s","0892","BKN","Thu 7 Dec 2006 01:46:40 GMT+00:00"
"1.3.2.2.1.1.20","3b2a1t","0894","BKN","Thu 7 Dec 2006 01:52:18 GMT+00:00"
"1.3.2.2.2","3b2b","031","BKN","Thu 11 May 2006 00:07:58 GMT+00:00"
"1.3.2.2.2.1","3b2b1","096","BKN","Tue 9 May 2006 06:56:30 GMT+00:00"
"1.3.2.2.2.1.1","3b2b1a","0165","BKN","Tue 9 May 2006 07:12:26 GMT+00:00"
"1.3.2.2.2.1.2","3b2b1b","0166","BKN","Tue 9 May 2006 07:12:29 GMT+00:00"
"1.3.2.2.2.1.3","3b2b1c","0167","BKN","Tue 9 May 2006 07:12:30 GMT+00:00"
"1.3.2.2.2.1.4","3b2b1d","0168","BKN","Tue 9 May 2006 07:12:30 GMT+00:00"
"1.3.2.3","3b3","0619","BKN","Mon 15 May 2006 06:19:58 GMT+00:00"
"1.3.2.3.1","3b3a","0800","BKN","Thu 7 Dec 2006 01:09:36 GMT+00:00"
"1.3.2.3.1.1","3b3a1","0797","BKN","Thu 7 Dec 2006 01:08:58 GMT+00:00"
"1.3.2.3.1.1.1","3b3a1a","0798","BKN","Thu 7 Dec 2006 01:09:04 GMT+00:00"
"1.3.2.3.2","3b3b","034","BKN","Thu 11 May 2006 00:02:06 GMT+00:00"
"1.3.2.3.2.1","3b3b1","099","BKN","Thu 11 May 2006 00:02:13 GMT+00:00"
"1.3.2.3.2.1.1","3b3b1a","0772","BKN","Sat 10 Jun 2006 01:13:54 GMT+00:00"
"1.3.2.3.2.1.2","3b3b1b","0190","BKN","Thu 11 May 2006 00:10:24 GMT+00:00"
"1.3.2.3.2.1.3","3b3b1c","0191","BKN","Thu 11 May 2006 00:10:24 GMT+00:00"
"1.3.2.3.2.1.4","3b3b1d","0192","BKN","Thu 11 May 2006 00:10:24 GMT+00:00"
"1.3.2.3.2.1.5","3b3b1e","0193","BKN","Thu 11 May 2006 00:10:24 GMT+00:00"
"1.3.2.3.2.1.6","3b3b1f","0206","BKN","Thu 11 May 2006 00:10:24 GMT+00:00"
"1.3.2.3.2.1.7","3b3b1g","0778","BKN","Thu 15 Jun 2006 07:05:05 GMT+00:00"
"1.3.2.3.2.1.7.1","3b3b1g1","0779","BKN","Thu 15 Jun 2006 07:05:10 GMT+00:00"
"1.3.2.3.2.1.8","3b3b1h","0195","BKN","Thu 11 May 2006 00:10:24 GMT+00:00"
"1.3.2.3.2.1.9","3b3b1i","0194","BKN","Thu 11 May 2006 00:10:24 GMT+00:00"
"1.3.2.3.2.1.10","3b3b1j","0196","BKN","Thu 11 May 2006 00:10:24 GMT+00:00"
"1.3.2.3.2.1.11","3b3b1k","0197","BKN","Thu 11 May 2006 00:10:24 GMT+00:00"
"1.3.2.3.2.1.12","3b3b1l","0198","BKN","Thu 11 May 2006 00:10:24 GMT+00:00"
"1.3.2.3.2.1.13","3b3b1m","0199","BKN","Thu 11 May 2006 00:10:24 GMT+00:00"
"1.3.2.3.2.1.14","3b3b1n","0201","BKN","Thu 11 May 2006 00:10:24 GMT+00:00"
"1.3.2.3.2.1.15","3b3b1o","0202","BKN","Thu 11 May 2006 00:10:24 GMT+00:00"
"1.3.2.3.2.1.16","3b3b1p","0203","BKN","Thu 11 May 2006 00:10:24 GMT+00:00"
"1.3.2.3.2.1.17","3b3b1q","0204","BKN","Thu 11 May 2006 00:10:24 GMT+00:00"
"1.3.2.3.2.1.18","3b3b1r","0205","BKN","Thu 11 May 2006 00:10:24 GMT+00:00"
"1.3.2.3.2.1.19","3b3b1s","0200","BKN","Thu 7 Dec 2006 00:32:44 GMT+00:00"
"1.3.2.3.2.1.20","3b3b1t","0781","BKN","Thu 7 Dec 2006 00:32:34 GMT+00:00"
"1.3.2.3.2.1.21","3b3b1u","0207","BKN","Thu 7 Dec 2006 00:35:42 GMT+00:00"
"1.3.2.3.2.1.21.1","3b3b1u1","0782","BKN","Thu 7 Dec 2006 00:35:53 GMT+00:00"
"1.3.2.3.2.1.22","3b3b1v","0858","BKN","Thu 7 Dec 2006 01:31:27 GMT+00:00"
